Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
359,0,-3.061735,0.879023,-2.411062,2342.560547,-43.030827,185.465317
360,0,-3.46308,0.067839,-2.707654,2353.093506,-30.151035,175.12233
361,0,-3.55933,-1.187788,-2.854095,2364.306152,-17.172047,163.911163
362,0,-3.026961,-2.856332,-2.597295,2380.20166,-4.087697,149.163177
363,0,-1.888097,-4.212255,-1.949648,2392.339111,8.404754,136.902298
364,0,-0.334046,-4.802448,-0.633928,2396.64209,20.339241,125.611557
365,0,0.836523,-4.509992,0.257234,2408.644287,33.2981,111.713463
366,0,1.555063,-3.853882,0.926272,2419.280029,46.143177,96.866432
367,0,1.87541,-3.129425,1.278076,2430.9104,59.743473,80.919708
368,0,2.003535,-2.468888,1.611018,2441.938477,72.576759,63.445248
369,0,2.003915,-1.823573,1.84045,2452.030029,86.679634,44.667522
370,0,1.80398,-1.238226,1.439724,2468.88623,104.638794,47.378883
371,,,,,,,
372,,,,,,,
373,0,1.028064,0.285272,0.725886,2505.652588,152.772079,68.255928
374,0,0.702211,0.604376,0.537288,2523.765381,168.680664,73.130981
375,0,0.307146,0.801519,0.407924,2541.834473,187.353897,81.344307
376,0,-0.06943,1.397189,-0.177031,2540.210938,197.189972,83.19812
377,,,,,,,
378,,,,,,,
379,0,-1.404985,2.035513,-1.199659,2578.916748,245.003143,92.075676
380,0,-1.837821,1.970809,-1.552495,2591.089111,260.906799,93.156685
381,,,,,,,
382,0,-2.996271,1.606967,-2.484805,2617.655029,294.086334,87.357361
383,0,-3.507627,0.788764,-2.927802,2629.632568,309.23819,83.714607
384,,,,,,,
385,0,-2.771588,-2.964945,-3.075067,2653.975342,342.186066,73.480782
386,0,-1.361744,-4.495356,-1.991693,2664.835205,356.518311,69.710732
387,,,,,,,
388,0,1.000253,-4.236685,0.711428,2688.312988,384.517853,56.082462
389,0,1.387214,-3.772851,1.052721,2692.484863,398.984924,63.215343
390,0,1.644877,-3.042258,1.391263,2722.219238,422.534576,61.541443
391,0,1.763061,-2.515273,1.692912,2727.179932,440.475006,67.267166
392,0,1.762228,-2.027692,1.97983,2738.499756,459.96463,70.91153
393,0,1.701,-1.532382,2.000872,2752.811523,481.000305,73.728973
394,0,1.629364,-1.007278,1.74083,2768.12793,500.725616,72.648895
395,0,1.529592,-0.699273,1.856145,2781.007813,522.485168,74.009476
396,0,1.415701,-0.385964,1.948712,2792.253662,544.114624,73.250946
397,0,1.046041,0.336993,1.185995,2802.928467,552.35498,64.819603
398,0,0.810937,0.69041,1.04405,2820.282227,570.446045,60.491436
399,,,,,,,
400,0,0.289695,1.370561,0.586778,2839.568848,605.35675,52.742706
401,0,-0.003459,1.505699,0.328428,2860.783447,624.11676,43.664474
402,0,-0.068169,1.738285,0.328313,2863.41748,635.69696,59.775036
403,0,-0.144976,1.72157,0.288875,2869.560547,648.56781,74.597908
404,0,-0.21473,1.742271,0.279759,2877.995361,660.569458,87.910019
405,0,-0.283432,1.762606,0.270057,2886.423584,672.54541,100.177223
406,0,-0.355576,1.780757,0.260561,2894.918701,684.601501,111.524391
407,0,-0.424556,1.797797,0.25182,2903.428467,696.733521,121.938812
408,0,-0.509611,1.834417,0.218737,2911.407715,708.004578,131.690796
409,0,-0.586748,1.838692,0.214804,2920.203857,720.109863,140.023575
410,0,-0.657281,1.855923,0.20361,2928.525879,732.115234,147.384445
411,0,-0.730574,1.872001,0.190453,2936.967285,744.298401,153.994751
